   
   
sim_type_id
sim_id
tracker_id
sim_position
tracker_position
position_error
sim_obj_static
tracker_obj_static
is_same_status
sim_velocity
tracker_velocity
velocity_error
sim_heading
tracker_heading
heading_error
tracker_position,(369.53_174.64_0.76)
position_error,0.05
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.47
tracker_velocity,3.25
velocity_error,0.06
sim_heading,-2.04
tracker_heading,-2.0
heading_error,0
sim_velocity_vector,(-1.1_-3.29_0.0)
tracker_velocity_vector,(-1.64_-2.8_0.0)
velocity_heading_error,11.870000000000005
sim_box_width,2.23
tracker_box_width,1.9
box_width_error,0.15
sim_box_length,4.89
tracker_box_length,4.72
box_length_error,0.03
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,4
sim_position,(369.37_174.34_-0.0)
tracker_position,(369.46_174.34_0.76)
position_error,0.09
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.29
tracker_velocity,3.2
velocity_error,0.03
sim_heading,-2.01
tracker_heading,-2.02
heading_error,0
sim_velocity_vector,(-0.99_-3.14_0.0)
tracker_velocity_vector,(-0.87_-3.08_0.0)
velocity_heading_error,1.730000000000004
sim_box_width,2.23
tracker_box_width,1.87
box_width_error,0.16
sim_box_length,4.89
tracker_box_length,4.63
box_length_error,0.05
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,4
sim_position,(369.27_174.04_-0.0)
tracker_position,(369.36_174.01_0.76)
position_error,0.09
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.24
tracker_velocity,3.26
velocity_error,0.01
sim_heading,-1.98
tracker_heading,-2.0
heading_error,0
sim_velocity_vector,(-0.92_-3.1_0.0)
tracker_velocity_vector,(-0.81_-3.15_0.0)
velocity_heading_error,2.1099999999999994
sim_box_width,2.23
tracker_box_width,1.91
box_width_error,0.14
sim_box_length,4.89
tracker_box_length,4.68
box_length_error,0.04
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,4
sim_position,(369.18_173.72_-0.0)
tracker_position,(369.28_173.73_0.76)
position_error,0.1
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.38
tracker_velocity,3.18
velocity_error,0.06
sim_heading,-1.95
tracker_heading,-1.93
heading_error,0
sim_velocity_vector,(-0.82_-3.28_-0.0)
tracker_velocity_vector,(-0.74_-3.09_0.0)
velocity_heading_error,0.5700000000000074
sim_box_width,2.23
tracker_box_width,1.9
box_width_error,0.15
sim_box_length,4.89
tracker_box_length,4.55
box_length_error,0.07
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,3
sim_position,(369.09_173.38_-0.0)
tracker_position,(369.21_173.44_0.76)
position_error,0.13
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.51
tracker_velocity,3.14
velocity_error,0.11
sim_heading,-1.92
tracker_heading,-1.9
heading_error,0
sim_velocity_vector,(-0.77_-3.43_-0.0)
tracker_velocity_vector,(-0.67_-3.06_0.0)
velocity_heading_error,0.30000000000001137
sim_box_width,2.23
tracker_box_width,1.94
box_width_error,0.13
sim_box_length,4.89
tracker_box_length,4.6
box_length_error,0.06
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,3
sim_position,(369.01_173.05_-0.0)
tracker_position,(369.12_173.12_0.76)
position_error,0.13
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.36
tracker_velocity,3.18
velocity_error,0.05
sim_heading,-1.89
tracker_heading,-1.89
heading_error,0
sim_velocity_vector,(-0.67_-3.29_0.0)
tracker_velocity_vector,(-0.69_-3.11_0.0)
velocity_heading_error,1.0
sim_box_width,2.23
tracker_box_width,1.94
box_width_error,0.13
sim_box_length,4.89
tracker_box_length,4.79
box_length_error,0.02
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,3
sim_position,(368.94_172.73_-0.0)
tracker_position,(369.06_172.8_0.76)
position_error,0.14
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.21
tracker_velocity,3.2
velocity_error,0.0
sim_heading,-1.87
tracker_heading,-1.85
heading_error,0
sim_velocity_vector,(-0.6_-3.15_0.0)
tracker_velocity_vector,(-0.6_-3.15_0.0)
velocity_heading_error,0.0
sim_box_width,2.23
tracker_box_width,1.66
box_width_error,0.26
sim_box_length,4.89
tracker_box_length,4.65
box_length_error,0.05
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,3
sim_position,(368.88_172.42_-0.0)
tracker_position,(368.99_172.48_0.76)
position_error,0.13
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.28
tracker_velocity,3.24
velocity_error,0.01
sim_heading,-1.84
tracker_heading,-1.85
heading_error,0
sim_velocity_vector,(-0.57_-3.23_0.0)
tracker_velocity_vector,(-0.59_-3.19_0.0)
velocity_heading_error,0.46999999999999886
sim_box_width,2.23
tracker_box_width,1.84
box_width_error,0.17
sim_box_length,4.89
tracker_box_length,4.57
box_length_error,0.07
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020,vehicle.nissan.patrol
sim_id,1705,1706
tracker_id,3,4
sim_position,(368.82_172.08_-0.0),(374.93_180.37_0.0)
tracker_position,(368.95_172.18_0.76),(375.13_180.31_0.91)
position_error,0.16,0.21
sim_obj_static,False,False
tracker_obj_static,False,False
